name,latitude,longitude
Aghaloaghan,53.86998,-6.8276
Aghaloonteen,54.01858,-9.34687
Aghaloory,53.8611,-7.38629
Aghalough,54.56461,-7.84674
Aghaloughan,53.87375,-7.17047
Aghalour,53.8093,-8.547
Aghalusky,53.87291,-9.11252
Aghalust,53.68164,-7.77388
Aghalustia,53.87561,-8.5669
Aghamackalinn,54.38834,-7.0598
Aghamaddock,53.00123,-7.14957
Aghamafir,52.91914,-7.12728
Aghamannan,53.7956,-8.01679
Aghamarta,51.79584,-8.33598
Aghameelick,53.23982,-7.11304
Aghameelta,54.24592,-8.25336
Aghameelta Barr,54.27542,-8.26198
Aghameen,54.03815,-6.27293
Aghameeny,53.95428,-8.07018
Aghamilla,51.6281,-8.9355
Aghamore,53.02162,-7.52532
Aghamore Far,54.23128,-8.43986
Aghamore Lower,53.88272,-7.65746
Aghamore Near,54.23872,-8.45835
Aghamore North,52.3999,-9.71756
Aghamore South,52.3924,-9.72007
Aghamore Upper,53.82879,-7.64578
Aghamuck,53.70652,-8.10439
Aghamucky,52.80656,-7.17178
Aghanacrinna,52.36755,-9.67937
Aghanageeragh,53.69693,-7.6678
Aghanagh,54.03858,-8.33264
Aghanagran Lower,52.53627,-9.50494
Aghanagran Middle,52.54459,-9.50908
Aghanagran Upper,52.55075,-9.51539
Aghanahil,53.42464,-8.52858
Aghanahown,53.69579,-7.72394
Aghanameena,54.29932,-7.08723
Aghananimy,54.23822,-6.95669
Aghanapisha,53.51269,-7.79441
Aghanargit,53.39999,-7.73231
Aghanascortan,53.4559,-6.99774
Aghanashanamore,53.43153,-7.78665
Aghanboy,51.8921,-10.30338
Aghancarnan,53.32013,-7.50981
Aghancarra,53.95653,-8.06431
Aghancon,53.03592,-7.77991
Aghaneenagh,52.17992,-9.01256
Aghangaddy Glebe,55.01547,-7.66525
Aghanlish,54.4124,-8.28056
Aghanoran,53.84762,-7.53906
Aghanrush,53.21987,-7.43585
Aghantrah,53.68557,-7.85284
Aghanure,52.88103,-6.93141
Aghanursan,55.08906,-7.68484
Aghanvally,53.60642,-7.72131
Aghanvilla,53.21193,-7.32007
Aghanvoneen,53.40462,-7.83345
Aghany,53.18946,-8.29488
Agharah,53.97677,-6.96199
Agharahan,53.97138,-7.31974
Agharanagh,53.6214,-8.01486
Agharann,53.98658,-7.71463
Agharanny,53.39104,-7.80465
Agharaskilly,54.10167,-7.5914
Aghards,53.34497,-6.55007
Aghareagh,53.72295,-7.49841
Aghareagh Bog,53.71732,-7.85214
Aghareagh East,54.09832,-7.16211
Aghareagh West,54.11023,-7.23121
Agharevagh East,53.37777,-7.75393
Agharevagh West,53.38147,-7.83627
Aghareville Lower,53.76094,-9.00972
Aghareville Upper,53.75588,-9.01614
Agharickard,53.71988,-7.72648
Agharinagh,51.91768,-8.73661
Agharoosky,54.42803,-8.28837
Agharra,53.59471,-7.62857
Agharroo,54.45308,-8.33118
Agharrow,54.38891,-8.57436
Agharue,52.77791,-7.07128
Aghasheil,54.81285,-7.79956
Aghataharn,53.84355,-8.75283
Aghatamy,53.97728,-6.78702
Aghatawny Lower,54.04361,-7.79089
Aghatawny Upper,54.04229,-7.79372
Aghateeduff,54.03363,-7.32516
Aghateemore Glebe,53.99488,-7.22186
Aghateggal,53.93669,-7.30602
Aghaterry,52.86947,-7.06818
Aghateskin,54.03026,-6.69812
Aghathomas,53.57238,-6.85994
Aghatotan,54.04636,-7.15105
Aghatubbrid,55.25245,-7.1474
Aghatubrid,51.88892,-10.20948
Aghatubrid Beg,51.57216,-9.12689
Aghatubrid More,51.56915,-9.13492
Aghavadden,54.03498,-7.86144
Aghavaddy,53.91602,-7.28636
Aghavadrin,54.00801,-7.55545
Aghavannagh,52.92386,-6.41062
Aghavannagh Mountain,52.94417,-6.47037
Aghavannan Far,55.10365,-7.54962
Aghavannan Near,55.10175,-7.54207
Aghavanny,54.34979,-8.00944
Aghavas,53.95808,-7.71571
Aghaveagh,54.79629,-7.89253
Aghaveans,53.87955,-7.52213
Aghavilla,54.08767,-7.47403
Aghaville,51.65101,-9.36581
Aghaviller,52.46466,-7.27297
Aghavine,51.90563,-7.94547
Aghavoghil,54.40985,-8.22582
Aghavoher,54.08433,-7.56298
Aghavoneen,53.38293,-7.81781
Aghavore,53.97826,-7.6007
Aghavrin,51.93003,-8.82017
Aghawaracahill,53.89591,-8.0529
Aghaward,53.79593,-7.65113
Aghaway,54.01774,-7.18349
Aghawee,53.8821,-7.34172
Aghaweely Lower,53.89489,-7.40248
Aghaweely Upper,53.90867,-7.41096
Aghaweenagh,54.07666,-7.58725
Aghawerriny,53.69894,-8.08677
Aghawillin,54.07519,-7.72901
Aghawinnaun,53.09417,-9.03431
Aghawonan,53.81274,-7.24705
Aghawoney,55.04335,-7.7309
Aghayeevoge,54.66213,-8.41746
Aghclare,52.55173,-7.00387
Aghcross,52.87318,-7.04683
Aghduff,53.01331,-7.63379
Agheeshal,54.07437,-6.72926
Aghenderry,52.59447,-7.33965
Agher,53.45252,-6.74039
Agheracalkill,54.28467,-7.08339
Agheragh,53.88483,-6.91334
Agherakeltan,54.2915,-7.09444
Agheralane,54.11036,-6.8919
Aghern East,52.095,-8.15388
Aghern West,52.09339,-8.16361
Aghfarrell,53.23009,-6.4183
Aghills,51.56194,-9.19424
Aghilly And Lenynarnan,55.13534,-7.43295
Aghinaspick,53.65568,-7.79708
Aghinillard,53.97052,-6.81005
Aghinish,53.65302,-9.28078
Aghinraheen,52.60855,-7.34908
Aghintamy,54.23668,-6.91435
Aghintass,53.89696,-7.95989
Aghinteeduff,53.81838,-7.88386
Aghintemple,53.6997,-7.74152
Aghintober,53.95227,-8.0036
Aghlacon,54.29262,-8.11416
Aghlattacru,53.94488,-6.7304
Aghleam,54.12083,-10.11381
Aghlehard,54.92611,-7.6625
Aghlem,54.65511,-8.0298
Aghlin,54.06839,-7.91112
Aghlisk,53.54319,-8.81789
Aghloonagh,53.78249,-8.27497
Aghmacart,52.82301,-7.51347
Aghmagree,53.63151,-8.12278
Aghmakerr,54.0642,-6.83257
Aghmanister And Spital,51.62578,-8.77969
Aghnabohy,53.54893,-7.61049
Aghnacally,54.16704,-7.64537
Aghnacally Glebe,53.71669,-7.71408
Aghnaclea,54.15657,-6.92707
Aghnacliff,53.84387,-7.61162
Aghnaclue,53.87477,-6.97289
Aghnacollia,54.17174,-7.8015
Aghnacor,53.97335,-7.54402
Aghnacranagh,53.62819,-7.81736
Aghnacreevy,54.03949,-7.58126
Aghnacross,52.88845,-7.27009
Aghnacue,54.15353,-7.06928
Aghnadamph,54.15719,-6.66945
Aghnadaragan,54.03779,-7.2187
Aghnadrung,53.84297,-7.08138
